スキル名,アイコン,タイプ,コスト,CD,スキル所持,説明,min,max,range,square,squareR,rect,line,lineR,low,high,rowRange,highRange,comment,exception
どっか～ん！,./img/skillIMG/どっか～ん！.png,専用EX;パッシブ,-,-,ベラ,パッシブ：Lv.3効果、ダメージ+15%。火傷または着火を所持しているキャラクターに対して、ダメージ+15%。同時に有効化できる。<br>パッシブ：Lv.2効果、ダメージ+10%。火傷または着火を所持しているキャラクターに対して、ダメージ+10%。同時に有効化できる。<br>パッシブ：Lv.1効果、ダメージ+10%。<br>必要素材：「希望の証」,,,,,,,,,,,,,,
駆ける孤刃,./img/skillIMG/駆ける孤刃.png,専用EX;パッシブ,-,-,コル,パッシブ：Lv.3効果、ダメージ、クリダメ+15%。スキル抹殺消費EN-1pt。スキル死の匂いのEN回復条件が以下の内容に変化する：任意の敵が倒される。<br>パッシブ：Lv.2効果、自身範囲2マス以内に味方がいない時、ダメージ、クリダメ+15%。<br>パッシブ：Lv.1効果、自身範囲3マス以内に味方がいない時、ダメージ、クリダメ+15%。<br>必要素材：「敬愛の証」,,,,,,,,,,,,,,
風纏いの矢,./img/skillIMG/風纏いの矢.png,専用EX;パッシブ,-,-,リリヴィア,パッシブ：Lv.3効果、ターゲットとの距離が4以上の時、攻撃力+30%。単体攻撃後、ターゲットに追加で3スタックの感染を付与する。<br>パッシブ：Lv.2効果、ターゲットとの距離が4以上の時、攻撃力+20%。単体攻撃後、ターゲットに追加で2スタックの感染を付与する。<br>パッシブ：Lv.1効果、ターゲットとの距離が4以上の時、攻撃力+20%。<br>必要素材：「希望の証」,,,,,,,,,,,,,,
私にお任せを！,./img/skillIMG/私にお任せを！.png,専用EX;パッシブ,-,-,マイサ,パッシブ：Lv.3効果、攻撃と防御能力値+20%。回復効果+40%を与える。アクティブスキル発動後、すべてのスキルCDが1ターン減少する。1ターンで最大1回発動する。<br>パッシブ：Lv.2効果、攻撃と防御能力値+20%。回復効果+40%を与える。<br>パッシブ：Lv.1効果、攻撃と防御能力値+20%。<br>必要素材：「希望の証」,,,,,,,,,,,,,,
取り巻く鮮血,./img/skillIMG/取り巻く鮮血.png,専用EX;パッシブ,-,-,ガルシア,パッシブ：Lv.3効果、1スタックにつき回転加速、攻撃と防御能力値+3%。さらに回転加速が解除不可になる。孤立された敵を攻撃する時、スキル倍率+30%。<br>パッシブ：Lv.2効果、1スタックにつき回転加速、攻撃と防御能力値+2%。さらに回転加速が解除不可になる。<br>パッシブ：Lv.1効果、1スタックにつき回転加速、攻撃と防御能力値+1%。さらに回転加速が解除不可になる。<br>必要素材：「希望の証」,,,,,,,,,,,,,,
烈風狂舞,./img/skillIMG/烈風狂舞.png,専用EX;パッシブ,-,-,ラヴィア,パッシブ：Lv.3効果、ブロックを無視する。ほろ酔いを所持している時、攻撃力・クリダメ・スキル倍率+15%、被ダメージ-15%。<br>パッシブ：Lv.2効果、ブロックを無視する。ほろ酔いを所持している時、攻撃力・スキル倍率+15%、被ダメージ-15%。<br>パッシブ：Lv.1効果、ブロックを無視する。ほろ酔いを所持している時、攻撃力+15%、被ダメージ-15%。<br>必要素材：「敬愛の証」,,,,,,,,,,,,,,
敬虔なる庇護の祈り,./img/skillIMG/敬虔なる庇護の祈り.png,専用EX;パッシブ,-,-,サマンサ,パッシブ：Lv.3効果、魔攻+15%。個性オーラ範囲+2マス。アクティブ回復スキルを使用、または個性での回復が発動した場合、自身のすべてのスキルCDが1ターン減少する。1ターンで最大2回発動する。<br>パッシブ：Lv.2効果、魔攻+12%。個性オーラ範囲+2マス。<br>パッシブ：Lv.1効果、魔攻+10%。個性オーラ範囲+1マス。<br>必要素材：「希望の証」,,,,,,,,,,,,,,
先陣,./img/skillIMG/先陣.png,専用EX;パッシブ,-,-,ザビエル,パッシブ：Lv.3効果、スキル王国の槍CD-3ターン。基礎能力値と比べて、素早さが100pt以上増加してる時、ダメージ+20%、被ダメージ-20%。<br>パッシブ：Lv.2効果、スキル王国の槍CD-2ターン。基礎能力値と比べて、素早さが100pt以上増加してる時、ダメージ+15%、被ダメージ-15%。<br>パッシブ：Lv.1効果、スキル王国の槍CD-1ターン。基礎能力値と比べて、素早さが100pt以上増加してる時、ダメージ+10%、被ダメージ-10%。<br>必要素材：「敬愛の証」,,,,,,,,,,,,,,
鉄則の盾,./img/skillIMG/鉄則の盾.png,専用EX;パッシブ,-,-,ティードン,パッシブ：Lv.3効果、攻撃し、自身の30%物理シールド値の貫通ダメージを与える。毎ターン警戒発動回数+1。警戒発動時、行動が中断されない。<br>パッシブ：Lv.2効果、攻撃し、自身の20%物理シールド値の貫通ダメージを与える。毎ターン警戒発動回数+1。<br>パッシブ：Lv.1効果、攻撃し、自身の10%物理シールド値の貫通ダメージを与える。毎ターン警戒発動回数+1。<br>必要素材：「敬愛の証」,,,,,,,,,,,,,,
深淵の囁き,./img/skillIMG/深淵の囁き.png,専用EX;パッシブ,-,-,グズマン,パッシブ：Lv.3効果、範囲ダメージ+40%。使用スキルスピリットドレイン時、攻撃が中断されず、さらに挑発を獲得し、このスキルのCDが2ターン減少する。<br>パッシブ：Lv.2効果、範囲ダメージ+30%。使用スキルスピリットドレイン時、攻撃が中断されず、このスキルのCDが1ターン減少する。<br>パッシブ：Lv.1効果、範囲ダメージ+30%。<br>必要素材：「希望の証」,,,,,,,,,,,,,,
